# Gemini
Aetherial Architects
Aggregated Anomaly
Amoebic Accord
Amoeboid Assembly
Amorphous Advance
Amorphous Union
Bioluminescent Blanket
Biomass Bloom
Blob Bloomers
Boundless Bloc
Cellular Chorus
Cellular Cipher
Circuitous Strands
Coalescent Core
Cohesive Creepers
Collective Confluence
Colonial Chorus
Conduit Weavers
Creeping Cipher
Creeping Curvature
Crystalline Crawlers
Cyto-Network
Cytoplasmic Cascade
Echoing Expansion
Filament Flux
Filament Forge
Flowing Form
Flowing Loom
Gelatinous Genesis
Gloop Collective
Gradient Glide
Interwoven Expanse
Morphing Mat
Mycelial Mappers
Myxoglobe
Myxomycetous Mass
Nebula Nurturers
Network Nexus
Nexus Bloom
Nutrient Net
Nutrient Nomads
Ooze Weave
Plasmatic Pulse
Proto-Parliament
Protoplasmic Push
Protoplasmic Tide
Pulsing Plasm
Reticulated Reach
Rhizome Ripple
Rootbound Reach
Shifting Sheath
Shimmering Sprawl
Spore Spreader
Sporebound
Sporebound Swathe
Sporic Synod
Swarm Unity
Symbiotic Strands
Synapse Sprawl
Synaptic Web
Tendril Tide
Topological Tangle
Umbral Union
Unified Amass
Unifying Slough
Vegetative Veil
Veinweavers
Viscous Collective
Whispering Tendrils
Wobble Wisdom
Xylos Collective

# Grok
Aether Mesh
Alabaster Web
Astral Hymnal
Azurite Choir
Celestine Chorus
Chroma Loom
Citrine Cantata
Coral Hymnal
Crest Choir
Cusp Cantor
Dewpoint Loom
Druse Collective
Ecliptic Weave
Flint Weave
Fossil Brocade
Garnet Canticle
Glint Cathedral
Gypsum Choir
Horizon Brocade
Lichen Lattice
Lunar Tapestry
Mica Net
Mistral Choir
Monsoon Loom
Nimbus Loom
Ochre Madrigal
Pulsar Lattice
Pyrite Chorus
Sable Canticle
Sirocco Weave
Solar Thallus
Spruce Filigree
Stratum Choir
Sylvan Filigree
Tempest Filament
Tephra Choir
Vellum Choir
Vortex Cantor
Zephyr Cantata
Zircon Weave
